Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t1059,0.0,0.0,0.0,6924.108907483583,6924.108907483583
t1060,0.0,0.0,0.0,3219.1858090540386,3219.1858090540386
t1061,0.0,0.0,0.0,6355.032719564804,6355.032719564804
t1062,0.0,0.0,0.0,3979.155793335414,3979.155793335414
t1063,0.0,0.0,0.0,5433.490226042127,5433.490226042127
t1064,0.0,0.0,0.0,5131.42336807678,5131.42336807678
t1065,0.0,0.0,0.0,4085.936942557261,4085.936942557261
t1066,0.0,0.0,0.0,6589.320672140805,6589.320672140805
t1067,0.0,0.0,0.0,7997.895656390684,7997.895656390684
t1068,0.0,0.0,0.0,9017.292239881197,9017.292239881197
t1069,0.0,0.0,0.0,7879.368131594335,7879.368131594335
t1070,0.0,0.0,0.0,7992.178138712175,7992.178138712175
t1071,0.0,0.0,0.0,6440.905083673718,6440.905083673718
t1072,0.0,0.0,0.0,0.0,0.0
t1073,0.0,0.0,0.0,0.0,0.0
t1074,0.0,0.0,0.0,0.0,0.0
t1075,0.0,0.0,0.0,0.0,0.0
t1076,0.0,0.0,0.0,0.0,0.0
t1077,0.0,0.0,0.0,0.0,0.0
t1078,0.0,0.0,0.0,0.0,0.0
t1079,0.0,0.0,0.0,0.0,0.0
t1080,0.0,0.0,0.0,0.0,0.0
t1081,0.0,0.0,0.0,0.0,0.0
t1082,0.0,0.0,0.0,0.0,0.0
t1083,0.0,0.0,0.0,0.0,0.0
t1084,0.0,0.0,0.0,0.0,0.0
t1085,0.0,0.0,0.0,0.0,0.0
t1086,0.0,0.0,0.0,0.0,0.0
t1087,0.0,0.0,0.0,0.0,0.0
t1088,0.0,0.0,0.0,0.0,0.0
t1089,0.0,0.0,0.0,4998.841384573811,4998.841384573811
t1090,0.0,0.0,0.0,6499.421683475198,6499.421683475198
t1091,0.0,0.0,0.0,7996.929045817711,7996.929045817711
t1092,0.0,0.0,0.0,8526.460744830843,8526.460744830843
t1093,0.0,0.0,0.0,8546.794620224136,8546.794620224136
t1094,0.0,0.0,0.0,8373.376440626043,8373.376440626043
t1095,0.0,0.0,0.0,5555.496928297005,5555.496928297005
t1096,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t1097,0.0,0.0,0.0,3923.5263676364475,3923.5263676364475
t1098,0.0,0.0,0.0,5911.5598415794775,5911.5598415794775
t1099,0.0,0.0,0.0,-0.0,0.0
t1100,0.0,0.0,0.0,6302.998073517566,6302.998073517566
t1101,0.0,0.0,0.0,-0.0,0.0
t1102,0.0,0.0,0.0,-0.0,0.0
t1103,0.0,0.0,0.0,0.0,0.0
t1104,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1105,0.0,0.0,0.0,2476.5880447662266,2476.5880447662266
t1106,0.0,0.0,0.0,8104.692948784731,8104.692948784731
t1107,0.0,0.0,0.0,16.875794174072034,16.875794174072034
t1108,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t1109,0.0,0.0,0.0,7439.37800776278,7439.37800776278
