BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t150,4860.028794095661,5904.97120590434,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10765.0
t151,3847.187125292208,7630.812874707793,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11478.0
t152,3989.377120640888,8240.622879359114,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12230.0
t153,11874.467492343889,1126.532507656111,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13001.0
t154,20635.62781900522,0.0,-7169.627819005224,0.0,0.0,0.0,0.0,0.0,0.0,-13466.0
t155,16754.081843390668,2961.334872478737,-6118.416715869406,0.0,0.0,0.0,0.0,0.0,0.0,-13597.0
t156,19531.13666518671,1518.3074615807159,-7561.444126767427,0.0,0.0,0.0,0.0,0.0,0.0,-13488.0
t157,19892.03145480338,1213.8600667723817,-7865.8915215757615,0.0,0.0,0.0,0.0,0.0,0.0,-13240.0
t158,19301.754383650696,1368.9986023487243,-7710.752985999419,0.0,0.0,0.0,0.0,0.0,0.0,-12960.0
t159,15576.586131505783,3133.58272842118,-5946.168859926964,0.0,0.0,0.0,0.0,0.0,0.0,-12764.0
t160,9144.70695723587,6417.022315556136,-2662.729272792007,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t161,4764.248411651856,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13844.0
t162,13684.120807188716,5093.3153905797135,-3986.4361977684293,0.0,0.0,0.0,0.0,0.0,0.0,-14791.0
t163,23697.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-14618.0
t164,23228.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-14149.0
t165,22783.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-13704.0
t166,3983.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13063.0
t167,3144.2484116518567,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12224.0
t168,20381.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-11302.0
t169,20501.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-11422.0
t170,20160.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-11081.0
t171,3395.917653387421,8324.41696748036,-755.3346208677812,0.0,0.0,0.0,0.0,0.0,0.0,-10965.0
t172,20053.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-10974.0
t173,11877.334620867785,4162.208483740181,-4917.543104607963,0.0,0.0,0.0,0.0,0.0,0.0,-11122.0
t174,2384.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11464.0
t175,2937.248411651856,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12017.0
t176,3550.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12630.0
t177,11056.795715658978,5757.477936344583,-3322.2736520035605,0.0,0.0,0.0,0.0,0.0,0.0,-13492.0
t178,16041.467555418776,3576.142016464684,-5503.6095718834595,0.0,0.0,0.0,0.0,0.0,0.0,-14114.0
t179,19699.350338313125,1900.7006250175093,-7179.050963330634,0.0,0.0,0.0,0.0,0.0,0.0,-14421.0
t180,21788.25831550112,889.746636423511,-8190.004951924631,0.0,0.0,0.0,0.0,0.0,0.0,-14488.0
t181,22500.872603473013,502.939492437565,-8576.81209591058,0.0,0.0,0.0,0.0,0.0,0.0,-14427.0
t182,22598.742376928378,375.5046057098825,-8704.24698263826,0.0,0.0,0.0,0.0,0.0,0.0,-14270.0
t183,19045.37181351177,2074.189887418185,-7005.561700929958,0.0,0.0,0.0,0.0,0.0,0.0,-14114.0
t184,16335.076875784878,3468.3373562816328,-5611.4142320665105,0.0,0.0,0.0,0.0,0.0,0.0,-14192.0
t185,9802.26949763912,7035.241045354512,-2044.510542993632,0.0,0.0,0.0,0.0,0.0,0.0,-14793.0
t186,22667.39974409644,1289.1759221258503,-7790.575666222293,0.0,0.0,0.0,0.0,0.0,0.0,-16166.0
t187,9149.917653387423,8324.41696748036,-755.3346208677812,0.0,0.0,0.0,0.0,0.0,0.0,-16719.0
t188,25511.75158834814,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-16432.0
t189,6777.248411651856,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15857.0
t190,19731.28184299734,2127.7348726754017,-6952.016715672742,0.0,0.0,0.0,0.0,0.0,0.0,-14907.0
t191,4743.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13823.0
t192,13102.339496183484,4385.2060460823295,-4694.545542265814,0.0,0.0,0.0,0.0,0.0,0.0,-12793.0
t193,11997.292461241726,4588.229563553208,-4491.5220247949355,0.0,0.0,0.0,0.0,0.0,0.0,-12094.0
t194,2671.248411651856,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11751.0
t195,2535.2484116518567,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11615.0
t196,20723.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-11644.0
t197,5693.548099592405,7685.101744377869,-1394.6498439702743,0.0,0.0,0.0,0.0,0.0,0.0,-11984.0
t198,22085.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-13006.0
