BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t78,17486.701953331198,1.277729068758842e-10,-93.70195333132943,0.0,0.0,0.0,1.3625045938946063e-14,0.0,0.0,-17393.0
t79,18439.28350702333,1.2737536542874297e-10,-98.28350702346086,0.0,0.0,0.0,1.3625045967391706e-14,0.0,0.0,-18341.0
t80,19773.60495960693,1.2685914356626432e-10,-103.60495960705958,0.0,0.0,0.0,1.3625045997837445e-14,0.0,0.0,-19670.0
t81,20705.460302178995,1.2650617416091236e-10,-106.46030217912217,0.0,0.0,0.0,1.3625046033217188e-14,0.0,0.0,-20599.0
t82,21137.683778922605,1.273777855105185e-10,-91.68377892273521,0.0,0.0,0.0,1.3625046022580162e-14,0.0,0.0,-21046.0
t83,22829.222370042695,1.2731116517615118e-10,-93.22237004282262,0.0,0.0,0.0,1.3625046046708956e-14,0.0,0.0,-22736.0
t84,25062.596860818703,1.268596916714642e-10,-97.59686081883517,0.0,0.0,0.0,1.3625046097524018e-14,0.0,0.0,-24965.0
t85,27039.132861402308,1.2637623108302022e-10,-100.13286140243994,0.0,0.0,0.0,1.3625046129664508e-14,0.0,0.0,-26939.0
t86,28516.517760508184,1.2600627353536641e-10,-101.51776050831285,0.0,0.0,0.0,1.3625046169359484e-14,0.0,0.0,-28415.0
t87,30718.65144282581,1.2657338916052409e-10,-89.65144282593525,0.0,0.0,0.0,1.3625046340375845e-14,0.0,0.0,-30629.0
t88,34703.97098760397,1.2621686580984125e-10,-88.97098760410192,0.0,0.0,0.0,1.3625046745899524e-14,0.0,0.0,-34615.0
t89,39204.91324392846,2.2645543808296635e-10,-141.91324392868484,0.0,0.0,0.0,1.3625047143180479e-14,0.0,0.0,-39063.0
t90,40605.326837379034,1729.6731626212554,-2.9371630877198214e-10,0.0,0.0,0.0,1.3627213134686455e-14,0.0,0.0,-42335.0
t91,39283.36927247883,1.2649752002411236e-10,-124.36927247896384,0.0,0.0,0.0,1.362505288098019e-14,0.0,0.0,-39159.0
t92,32987.38588442965,1.2425470657620675e-10,-74.38588442977648,0.0,0.0,0.0,1.3625046365866579e-14,0.0,0.0,-32913.0
t93,30218.684360040883,1.24724881148861e-10,-97.68436004100674,0.0,0.0,0.0,1.3625046226467258e-14,0.0,0.0,-30121.0
t94,27120.710700079362,1.2484492091873726e-10,-106.71070007948828,0.0,0.0,0.0,1.3625046111796115e-14,0.0,0.0,-27014.0
t95,23989.12316074964,1.247969199062198e-10,-111.12316074976667,0.0,0.0,0.0,1.3625046045893084e-14,0.0,0.0,-23878.0
t96,22140.44863585293,1.2481194331849648e-10,-111.44863585305649,0.0,0.0,0.0,1.3625046004984803e-14,0.0,0.0,-22029.0
t97,20170.210561477485,1.2576026757308264e-10,-97.21056147761549,0.0,0.0,0.0,1.3625045974912264e-14,0.0,0.0,-20073.0
t98,18703.095276054326,1.258284193398753e-10,-101.09527605445264,0.0,0.0,0.0,1.3625045939944496e-14,0.0,0.0,-18602.0
t99,17685.87105255085,1.2556645070364834e-10,-106.87105255097451,0.0,0.0,0.0,1.3625045932058815e-14,0.0,0.0,-17579.0
t100,17283.33798309645,1.2526907732665603e-10,-112.33798309657992,0.0,0.0,0.0,1.3625045928325193e-14,0.0,0.0,-17171.0
t101,16885.22558718188,1.2515578717340274e-10,-112.2255871820024,0.0,0.0,0.0,1.3625045933646937e-14,0.0,0.0,-16773.0
t102,18036.142545520634,1.259532974812191e-10,-100.14254552075863,0.0,0.0,0.0,1.3625045967050817e-14,0.0,0.0,-17936.0
t103,19357.218563040104,1.2596436245889677e-10,-103.21856304023142,0.0,0.0,0.0,1.3625045988046987e-14,0.0,0.0,-19254.0
t104,21976.656093541696,1.255647782190813e-10,-112.65609354182492,0.0,0.0,0.0,1.362504603829821e-14,0.0,0.0,-21864.0
t105,23933.230628842324,1.2515082995617835e-10,-118.2306288424494,0.0,0.0,0.0,1.3625046082785017e-14,0.0,0.0,-23815.0
t106,24783.535978758056,1.2496198740619892e-10,-114.53597875817898,0.0,0.0,0.0,1.3625046072136682e-14,0.0,0.0,-24669.0
t107,26397.48686852192,1.256966130468384e-10,-99.48686852204702,0.0,0.0,0.0,1.362504611369766e-14,0.0,0.0,-26298.0
t108,28255.005235552133,1.2562645075969737e-10,-105.00523555225615,0.0,0.0,0.0,1.3625046197213822e-14,0.0,0.0,-28150.0
t109,29544.29962648257,1.2527555504950795e-10,-107.29962648270035,0.0,0.0,0.0,1.3625046248337461e-14,0.0,0.0,-29437.0
t110,30234.663826902342,1.2478830416778572e-10,-110.66382690246877,0.0,0.0,0.0,1.3625046289237665e-14,0.0,0.0,-30124.0
t111,31936.590040664953,1.2456604631398486e-10,-99.59004066507836,0.0,0.0,0.0,1.3625046371301414e-14,0.0,0.0,-31837.0
t112,35595.01131788731,1.253474447043188e-10,-81.01131788743784,0.0,0.0,0.0,1.3625047112970615e-14,0.0,0.0,-35514.0
t113,39595.61979018184,2.398754295673369e-10,-159.61979018208862,0.0,0.0,0.0,1.3625054031094052e-14,0.0,0.0,-39436.0
t114,41146.85850791749,1100.1414920827929,-2.8924109779793195e-10,0.0,0.0,0.0,1.3627218162320914e-14,0.0,0.0,-42247.0
t115,39622.76066476128,1.2443751975767263e-10,-173.760664761415,0.0,0.0,0.0,1.3625047488941975e-14,0.0,0.0,-39449.0
t116,33106.8129304046,1.2288237408041734e-10,-60.812930404721925,0.0,0.0,0.0,1.3625046264330158e-14,0.0,0.0,-33046.0
t117,30343.0796528056,1.240469515628379e-10,-95.07965280572876,0.0,0.0,0.0,1.3625046180298625e-14,0.0,0.0,-30248.0
t118,26955.764640312133,1.2445391623077164e-10,-104.76464031225645,0.0,0.0,0.0,1.3625046086938691e-14,0.0,0.0,-26851.0
t119,23637.81378224106,1.2447022115259908e-10,-113.8137822411925,0.0,0.0,0.0,1.3625046019214894e-14,0.0,0.0,-23524.0
t120,21151.154196314932,1.2435678204216986e-10,-121.15419631505982,0.0,0.0,0.0,1.3625045992079492e-14,0.0,0.0,-21030.0
t121,18977.25390293376,1.2436746922888585e-10,-121.25390293389067,0.0,0.0,0.0,1.362504594144053e-14,0.0,0.0,-18856.0
t122,17245.299925903026,1.2525600291951578e-10,-108.29992590315197,0.0,0.0,0.0,1.3625045918814232e-14,0.0,0.0,-17137.0
t123,16261.512828749672,1.253598932193921e-10,-114.51282874979432,0.0,0.0,0.0,1.3625045920043693e-14,0.0,0.0,-16147.0
